index,time_s,current_A,encoder_V,duty_pct,delta_us
0,0.000000,0.741683,2.507331,100,220
1,0.000220,0.317215,2.497556,100,220
2,0.000440,0.757135,2.521994,100,220
3,0.000660,0.356299,2.561095,100,236
4,0.000896,0.382658,2.575758,100,204
5,0.001100,0.489002,2.570870,100,220
6,0.001320,0.273587,2.536657,100,220
7,0.001540,0.545355,2.438905,100,220
8,0.001760,0.259044,2.507331,100,220
9,0.001980,0.302672,2.531769,100,220
10,0.002200,0.811671,2.507331,100,220
11,0.002420,0.333576,2.502444,100,220
12,0.002640,0.848028,2.507331,100,220
13,0.002860,0.377204,2.521994,100,220
14,0.003080,0.519905,2.536657,100,220
15,0.003300,0.568079,2.590420,100,220
16,0.003520,0.558080,2.575758,100,220
17,0.003740,0.556262,2.561095,100,220
18,0.003960,0.545355,2.512219,100,220
19,0.004180,0.527177,2.507331,100,220
20,0.004400,0.495364,2.507331,100,220
21,0.004620,0.286312,2.526882,100,220
22,0.004840,0.495364,2.482893,100,220
23,0.005060,0.251772,2.507331,100,220
24,0.005280,0.269042,2.531769,100,220
25,0.005500,0.572623,2.531769,100,220
26,0.005720,0.291765,2.585533,100,220
27,0.005940,0.708962,2.585533,100,220
28,0.006160,0.323578,2.570870,100,220
29,0.006380,0.368115,2.497556,100,220
30,0.006600,0.407199,2.507331,100,220
31,0.006820,0.508089,2.531769,100,220
32,0.007040,0.548082,2.507331,100,220
33,0.007260,0.558080,2.507331,100,220
34,0.007480,0.548082,2.507331,100,220
35,0.007700,0.520814,2.507331,100,220
36,0.007920,0.508089,2.531769,100,220
37,0.008140,0.489002,2.536657,100,220
38,0.008360,0.479004,2.590420,100,220
39,0.008580,0.471732,2.575758,100,220
40,0.008800,0.434466,2.561095,100,220
41,0.009020,0.239047,2.531769,100,220
42,0.009240,0.485366,2.536657,100,220
43,0.009460,0.234503,2.507331,100,220
44,0.009680,0.255408,2.497556,100,220
45,0.009900,0.581712,2.502444,100,220
46,0.010120,0.286312,2.502444,100,220
47,0.010340,0.684421,2.512219,100,220
48,0.010560,0.324486,2.531769,100,220
49,0.010780,0.371751,2.561095,100,220
50,0.011000,0.856208,2.590420,100,220
51,0.011220,0.430831,2.575758,100,220
52,0.011440,0.525359,2.536657,100,220
53,0.011660,0.558989,2.507331,100,220
54,0.011880,0.507181,2.507331,100,220
55,0.012100,0.488093,2.507331,100,220
56,0.012320,0.326304,2.478006,100,220
57,0.012540,0.599891,2.502444,100,220
58,0.012760,0.306308,2.507331,100,220
59,0.012980,0.339938,2.512219,100,220
60,0.013200,0.692601,2.531769,100,220
61,0.013420,0.360843,2.556207,100,220
62,0.013640,0.688966,2.575758,100,220
63,0.013860,0.359026,2.561095,100,220
64,0.014080,0.387202,2.482893,100,220
65,0.014300,0.479004,2.507331,100,220
66,0.014520,0.535357,2.512219,100,220
67,0.014740,0.544446,2.507331,100,220
68,0.014960,0.531722,2.502444,100,220
69,0.015180,0.518997,2.502444,100,220
70,0.015400,0.499000,2.507331,100,220
71,0.015620,0.485366,2.536657,100,220
72,0.015840,0.469915,2.556207,100,220
73,0.016060,0.285403,2.590420,100,220
74,0.016280,0.175423,2.570870,100,220
75,0.016500,0.499000,2.541544,100,220
76,0.016720,0.274496,2.507331,100,220
77,0.016940,0.532630,2.482893,100,220
78,0.017160,0.266315,2.507331,100,220
79,0.017380,0.315397,2.521994,100,220
80,0.017600,0.858935,2.507331,100,220
81,0.017820,0.353572,2.502444,100,220
82,0.018040,0.802581,2.517107,100,220
83,0.018260,0.368115,2.536657,100,220
84,0.018480,0.491729,2.575758,100,220
85,0.018700,0.548082,2.575758,100,220
86,0.018920,0.578986,2.561095,100,232
87,0.019152,0.560807,2.517107,100,208
88,0.019360,0.550809,2.507331,100,220
89,0.019580,0.525359,2.502444,100,220
90,0.019800,0.491729,2.497556,100,220
91,0.020020,0.250863,2.473118,100,220
92,0.020240,0.500818,2.507331,100,220
93,0.020460,0.248137,2.507331,100,220
94,0.020680,0.285403,2.502444,100,220
95,0.020900,0.747137,2.551320,100,220
96,0.021120,0.315397,2.629521,100,220
97,0.021340,0.765315,2.570870,100,220
98,0.021560,0.336302,2.546432,100,220
99,0.021780,0.369933,2.482893,100,220
100,0.022000,0.366297,2.502444,100,236
101,0.022236,0.386293,2.482893,100,204
102,0.022440,0.476277,2.502444,100,220
103,0.022660,0.540811,2.502444,100,220
104,0.022880,0.557171,2.502444,100,220
105,0.023100,0.556262,2.517107,100,220
106,0.023320,0.547173,2.556207,100,220
107,0.023540,0.528995,2.575758,100,220
108,0.023760,0.509907,2.580645,100,220
109,0.023980,0.493547,2.570870,100,220
110,0.024200,0.477186,2.517107,100,220
111,0.024420,0.379022,2.492669,100,220
112,0.024640,0.440829,2.478006,100,220
113,0.024860,0.221778,2.502444,100,220
114,0.025080,0.484457,2.507331,100,224
115,0.025304,0.597164,2.507331,100,216
116,0.025520,0.261771,2.517107,100,220
117,0.025740,0.595346,2.517107,100,220
118,0.025960,0.295401,2.536657,100,220
119,0.026180,0.350845,2.575758,100,220
120,0.026400,0.513543,2.570870,100,220
121,0.026620,0.379022,2.536657,100,220
122,0.026840,0.806217,2.512219,100,220
123,0.027060,0.324486,2.507331,100,220
124,0.027280,0.397201,2.512219,100,220
125,0.027500,0.524450,2.502444,100,220
126,0.027720,0.569896,2.517107,100,220
127,0.027940,0.551718,2.507331,100,220
128,0.028160,0.551718,2.512219,100,220
129,0.028380,0.538993,2.531769,100,220
130,0.028600,0.516270,2.565982,100,220
131,0.028820,0.496273,2.590420,100,220
132,0.029040,0.474459,2.570870,100,220
133,0.029260,0.511725,2.531769,100,220
134,0.029480,0.396292,2.517107,100,220
135,0.029700,0.241774,2.507331,100,220
136,0.029920,0.233594,2.517107,100,220
137,0.030140,0.498091,2.502444,100,220
138,0.030360,0.241774,2.507331,100,220
139,0.030580,0.281767,2.497556,100,220
140,0.030800,0.803490,2.526882,100,220
141,0.031020,0.320851,2.536657,100,220
142,0.031240,0.823487,2.590420,100,220
143,0.031460,0.369024,2.575758,100,220
144,0.031680,0.498091,2.561095,100,220
145,0.031900,0.552627,2.507331,100,220
146,0.032120,0.561716,2.512219,100,220
147,0.032340,0.554445,2.502444,100,220
148,0.032560,0.544446,2.502444,100,220
149,0.032780,0.527177,2.507331,100,220
150,0.033000,0.506272,2.507331,100,220
151,0.033220,0.490820,2.517107,100,220
152,0.033440,0.474459,2.531769,100,220
153,0.033660,0.477186,2.556207,100,220
154,0.033880,0.247228,2.609971,100,220
155,0.034100,0.451736,2.570870,100,220
156,0.034320,0.253590,2.541544,100,220
157,0.034540,0.558989,2.507331,100,220
158,0.034760,0.248137,2.507331,100,220
159,0.034980,0.262680,2.517107,100,220
160,0.035200,0.104526,2.502444,100,220
161,0.035420,0.328122,2.546432,100,220
162,0.035640,0.891656,2.502444,100,220
163,0.035860,0.491729,2.517107,100,220
164,0.036080,0.565352,2.536657,100,220
165,0.036300,0.565352,2.585533,100,220
166,0.036520,0.567170,2.575758,100,220
167,0.036740,0.551718,2.561095,100,220
168,0.036960,0.534448,2.512219,100,220
169,0.037180,0.515361,2.507331,100,220
170,0.037400,0.491729,2.502444,100,220
171,0.037620,0.469915,2.531769,100,220
172,0.037840,0.460825,2.448680,100,220
173,0.038060,0.254499,2.507331,100,220
174,0.038280,0.244501,2.517107,100,220
175,0.038500,0.252681,2.536657,100,220
176,0.038720,0.250863,2.575758,100,220
177,0.038940,0.612616,2.585533,100,220
178,0.039160,0.281767,2.570870,100,220
179,0.039380,0.331758,2.536657,100,220
180,0.039600,0.845301,2.507331,100,220
181,0.039820,0.362661,2.497556,100,220
182,0.040040,0.835303,2.502444,100,220
183,0.040260,0.500818,2.502444,100,220
184,0.040480,0.558989,2.502444,100,220
185,0.040700,0.565352,2.502444,100,220
186,0.040920,0.558080,2.531769,100,220
187,0.041140,0.540811,2.541544,100,220
188,0.041360,0.516270,2.590420,100,220
189,0.041580,0.495364,2.575758,100,220
190,0.041800,0.476277,2.561095,100,220
191,0.042020,0.364479,2.497556,100,220
192,0.042240,0.029995,2.507331,100,220
193,0.042460,0.315397,2.507331,100,220
194,0.042680,0.259044,2.502444,100,220
195,0.042900,0.611707,2.502444,100,220
196,0.043120,0.299037,2.497556,100,220
197,0.043340,0.676241,2.517107,100,220
198,0.043560,0.331758,2.536657,100,220
199,0.043780,0.364479,2.561095,100,220
200,0.044000,0.613525,2.585533,100,220
201,0.044220,0.430831,2.570870,100,220
202,0.044440,0.528086,2.531769,100,220
203,0.044660,0.558989,2.507331,100,220
204,0.044880,0.560807,2.507331,100,220
205,0.045100,0.541720,2.507331,100,220
206,0.045320,0.522632,2.512219,100,220
207,0.045540,0.500818,2.507331,100,220
208,0.045760,0.486275,2.507331,100,220
209,0.045980,0.471732,2.526882,100,220
210,0.046200,0.422650,2.536657,100,220
211,0.046420,0.224505,2.585533,100,220
212,0.046640,0.459916,2.561095,100,220
213,0.046860,0.499000,2.556207,100,220
214,0.047080,0.258135,2.502444,100,220
215,0.047300,0.589893,2.507331,100,220
216,0.047520,0.290856,2.502444,100,220
217,0.047740,0.747137,2.502444,100,220
218,0.047960,0.330849,2.502444,100,220
219,0.048180,0.372660,2.463343,100,220
220,0.048400,0.668969,2.517107,100,220
221,0.048620,0.533539,2.536657,100,236
